"",Unnamed: 0,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline,profit\\r
2091,2091,77877,The Lucky One,2012-04-19,"['Drama', 'Romance']",English,7.1,3353,31.229,A Marine travels to Louisiana after serving three tours in Iraq and searches for the unknown woman he believes was his good luck charm during the war.,25000000,"['Di Novi Pictures', 'Langley Park Production', 'Village Roadshow Pictures', 'Warner Bros. Pictures']",99357138,101,NaN,74357138
2092,2092,1367,Rocky II,1979-06-15,['Drama'],English,7.3,3850,31.200,"After Rocky goes the distance with champ Apollo Creed, both try to put the fight behind them and move on. Rocky settles down with Adrian but can't put his life together outside the ring, while Cre...",7000000,"['Winkler Films', 'United Artists']",85182160,119,Once he fought for a dream. Now he's fighting for love!,78182160
2093,2093,34544,The A-Team,2010-06-09,"['Thriller', 'Action', 'Adventure', 'Comedy', 'Crime']",English,6.4,4226,31.186,"A group of Iraq War veterans goes on the run from U.S. military forces while they try to clear their names after being framed for a crime they didn't commit. Along the way, Col. Hannibal Smith, Ca...",110000000,"['Phoenix Film Partners', 'Dune Entertainment', 'Stephen J. Cannell Productions', 'Top Cow Productions', 'Scott Free Productions', 'Big Screen Productions', '20th Century Fox', 'Ingenious Media']",177238796,117,There Is No Plan B,67238796
2095,2095,13700,Home on the Range,2004-04-02,"['Animation', 'Family']",English,6.0,1806,31.182,"When a greedy outlaw schemes to take possession of the ""Patch Of Heaven"" dairy farm, three determined cows, a karate-kicking stallion and a colorful corral of critters join forces to save their ho...",110000000,['Walt Disney Pictures'],145358062,76,Bust a Moo,35358062
2096,2096,122906,About Time,2013-09-04,"['Drama', 'Romance', 'Fantasy']",English,7.9,7591,31.181,"The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but th...",12000000,"['Working Title Films', 'Translux', 'Universal Pictures', 'Relativity Media']",87100449,123,What if every moment in life came with a second chance?,75100449
2097,2097,1949,Zodiac,2007-03-02,"['Crime', 'Drama', 'Mystery', 'Thriller']",English,7.5,9324,31.164,A cartoonist teams up with an ace reporter and a law enforcement officer to track down an elusive serial killer.,65000000,"['Paramount', 'Phoenix Pictures', 'Warner Bros. Pictures']",84785914,157,There's more than one way to lose your life to a killer.,19785914
2099,2099,10054,Spy Kids,2001-03-18,"['Action', 'Comedy', 'Family', 'Adventure']",English,5.8,3078,31.135,"Carmen and Juni think their parents are boring. Little do they know that in their day, Gregorio and Ingrid Cortez were the top secret agents from their respective countries. They gave up that life...",35000000,"['Troublemaker Studios', 'Dimension Films', 'Miramax']",147934180,88,Real spies...only smaller,112934180
2102,2102,64688,21 Jump Street,2012-03-14,"['Action', 'Comedy', 'Crime']",English,6.9,9458,31.088,"In high school, Schmidt was a dork and Jenko was the popular jock. After graduation, both of them joined the police force and ended up as partners riding bicycles in the city park. Since they are ...",42000000,"['Columbia Pictures', 'Relativity Media', 'Original Film', 'Metro-Goldwyn-Mayer']",201585328,109,They thought the streets were mean. Then they went back to high school.,159585328
2104,2104,22538,Scott Pilgrim vs. the World,2010-08-12,"['Action', 'Comedy', 'Romance']",English,7.5,6988,31.059,"As bass guitarist for a garage-rock band, Scott Pilgrim has never had trouble getting a girlfriend; usually, the problem is getting rid of them. But when Ramona Flowers skates into his heart, he f...",85000000,"['Universal Pictures', 'Marc Platt Productions', 'Big Talk Productions', 'Closed on Mondays Entertainment', 'dentsu']",48000000,112,Get the hot girl. Defeat her evil exes. Hit love where it hurts.,-37000000
2105,2105,289,Casablanca,1942-11-26,"['Drama', 'Romance']",English,8.2,4760,31.058,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",878000,['Warner Bros. Pictures'],10462500,102,They had a date with fate in Casablanca!,9584500
